Timestamp,L1-dcache-load-misses,l2_rqsts.miss,branch-misses,branch-instructions,instructions,mem_load_uops_retired.l3_miss,cpu-cycles,LLC-load-misses
     0.105528824,5028429,10511867,2452746,84488847,393098169,219111,376855307,210863
     0.205736822,16140016,19913448,4246282,147713106,690755949,653130,872747624,1006941
     0.305901441,29601161,18749489,4406107,146069347,760160876,578451,921163476,746636
     0.406067959,30724014,17637522,4056862,95354376,562311334,1486437,921487614,1652296
     0.506247272,29810357,18008764,3877413,67523924,412248160,2281267,907742969,2487079
     0.606416734,22218286,16391900,3535050,39686190,283591717,3184218,914227822,3400987
     0.706575015,22368093,14546586,2884896,32835855,238386847,3041674,889154837,3225368
     0.806748254,35622426,17637340,4157169,59052549,432828098,2480678,1022428512,2737913
     0.906977891,32321674,16994464,3992099,53419274,371047301,2690239,980230784,2812722
     1.007143481,22845742,16548104,3362531,35677145,262974119,3203073,912110617,3415041
     1.107309121,22558607,14439425,3458638,64501998,407104004,2797889,939620767,2843515
     1.207457784,17951341,9514443,2938832,212456099,1185664141,763636,1085948762,1060467
     1.255893792,2810410,2866436,881619,127861316,652047664,315384,504410583,329592
     1.260186927,366155,451641,126213,6070155,19777591,106408,48882474,182973
